"表1-3  101年1至12月來臺旅客人數及成長率－按居住地分
Table 1-3 Visitor Arrivals by Residence,
 January-December,2012",,,,,,,,,,,,
"居住地
Place of residence",,,"101年1至12月 Jan.-Dec., 2012",,,"100年1至12月 Jan.-Dec.,2011",,,成長率  Rate of increase(%),,,
,,,"合計
Total","華僑旅客
Overseas
Chinese","外籍旅客
Foreigners","合計
Total","華僑旅客
Overseas
Chinese","外籍旅客
Foreigners","合計
Total","華僑旅客
Overseas
Chinese","外籍旅客
Foreigners",
亞洲  ASIA,,,"6,473,684 ","3,471,836 ","3,001,848 ","5,264,210 ","2,490,493 ","2,773,717 ",22.98 ,39.40 ,8.22 ,
,香港.澳門 HongKong. Macao,,"1,016,356 ","906,621 ","109,735 ","817,944 ","720,722 ","97,222 ",24.26 ,25.79 ,12.87 ,
,大陸 Mainland China,,"2,586,428 ","2,551,532 ","34,896 ","1,784,185 ","1,755,529 ","28,656 ",44.96 ,45.34 ,21.78 ,
,日本 Japan,,"1,432,315 ","1,369 ","1,430,946 ","1,294,758 ","1,759 ","1,292,999 ",10.62 ,-22.17 ,10.67 ,
,韓國 Korea,,"259,089 ","3,099 ","255,990 ","242,902 ","3,162 ","239,740 ",6.66 ,-1.99 ,6.78 ,
,印度 India,,"23,251 ",25 ,"23,226 ","23,927 ",24 ,"23,903 ",-2.83 ,4.17 ,-2.83 ,
,中東 Middle East,,"13,032 ",112 ,"12,920 ","13,791 ",102 ,"13,689 ",-5.50 ,9.80 ,-5.62 ,
,東南亞 S.E.Asia,,"1,132,592 ","9,025 ","1,123,567 ","1,071,975 ","9,150 ","1,062,825 ",5.65 ,-1.37 ,5.72 ,
,,馬來西亞 Malaysia,"341,032 ",633 ,"340,399 ","307,898 ",597 ,"307,301 ",10.76 ,6.03 ,10.77 ,
,,新加坡 Singapore,"327,253 ",377 ,"326,876 ","299,599 ",361 ,"299,238 ",9.23 ,4.43 ,9.24 ,
,,印尼 Indonesia,"163,598 ",410 ,"163,188 ","156,281 ",400 ,"155,881 ",4.68 ,2.50 ,4.69 ,
,,菲律賓 Philippines,"105,130 ","2,743 ","102,387 ","101,539 ","2,799 ","98,740 ",3.54 ,-2.00 ,3.69 ,
,,泰國 Thailand,"97,712 ","1,014 ","96,698 ","102,902 ","1,207 ","101,695 ",-5.04 ,-15.99 ,-4.91 ,
,,越南 Vietnam,"89,354 ","2,802 ","86,552 ","95,837 ","2,462 ","93,375 ",-6.76 ,13.81 ,-7.31 ,
,,其他 Others,"8,513 ","1,046 ","7,467 ","7,919 ","1,324 ","6,595 ",7.50 ,-21.00 ,13.22 ,
