"99年1至12月來臺旅客按居住地分
Visitor Arrivals by Residence, January-December, 2010",,,,,,,,,,,,
"居住地
Residence",,,"99年1至12月 Jan.-Dec., 2010",,,"98年1至12月 Jan.-Dec.,2009",,,比較 Change (%),,,
,,,"合計
Total","華僑旅客
Overseas
Chinese","外籍旅客
Foreigners","合計
Total","華僑旅客
Overseas
Chinese","外籍旅客
Foreigners","合計
Total","華僑旅客
Overseas
Chinese","外籍旅客
Foreigners",
亞洲  ASIA,,,"4,783,060 ","2,323,712 ","2,459,348 ","3,655,084 ","1,602,223 ","2,052,861 ",30.86 ,45.03 ,19.80 ,
,香港.澳門 HongKong. Macao,,"794,362 ","700,700 ","93,662 ","718,806 ","634,121 ","84,685 ",10.51 ,10.50 ,10.60 ,
,大陸 Mainland China,,"1,630,735 ","1,607,569 ","23,166 ","972,123 ","953,009 ","19,114 ",67.75 ,68.68 ,21.20 ,
,日本 Japan,,"1,080,153 ","1,694 ","1,078,459 ","1,000,661 ","1,688 ","998,973 ",7.94 ,0.36 ,7.96 ,
,韓國 Korea,,"216,901 ","3,038 ","213,863 ","167,641 ","3,489 ","164,152 ",29.38 ,-12.93 ,30.28 ,
,印度 India,,"23,849 ",23 ,"23,826 ","18,555 ",23 ,"18,532 ",28.53 ,0.00 ,28.57 ,
,中東 Middle East,,"13,542 ",92 ,"13,450 ","12,217 ",142 ,"12,075 ",10.85 ,-35.21 ,11.39 ,
,東南亞 S.E.Asia,,"911,174 ","10,530 ","900,644 ","689,027 ","9,670 ","679,357 ",32.24 ,8.89 ,32.57 ,
,,馬來西亞 Malaysia,"285,734 ",696 ,"285,038 ","166,987 ",633 ,"166,354 ",71.11 ,9.95 ,71.34 ,
,,新加坡 Singapore,"241,334 ",326 ,"241,008 ","194,523 ",394 ,"194,129 ",24.06 ,-17.26 ,24.15 ,
,,印尼 Indonesia,"123,834 ",425 ,"123,409 ","106,612 ",340 ,"106,272 ",16.15 ,25.00 ,16.13 ,
,,菲律賓 Philippines,"87,944 ","3,480 ","84,464 ","77,206 ","4,024 ","73,182 ",13.91 ,-13.52 ,15.42 ,
,,泰國 Thailand,"92,949 ","1,292 ","91,657 ","78,405 ","1,061 ","77,344 ",18.55 ,21.77 ,18.51 ,
,,其他 Others,"79,379 ","4,311 ","75,068 ","65,294 ","3,218 ","62,076 ",21.57 ,33.97 ,20.93 ,
,亞洲其他 Others,,"112,344 ",66 ,"112,278 ","76,054 ",81 ,"75,973 ",47.72 ,-18.52 ,47.79 ,
美洲  AMERICA,,,"474,709 ","5,610 ","469,099 ","442,036 ","5,177 ","436,859 ",7.39 ,8.36 ,7.38 ,
,加拿大 Canada,,"64,739 ",665 ,"64,074 ","60,138 ",648 ,"59,490 ",7.65 ,2.62 ,7.71 ,
,美國 U.S.A.,,"395,729 ","4,289 ","391,440 ","369,258 ","3,992 ","365,266 ",7.17 ,7.44 ,7.17 ,
,墨西哥 Mexico,,"2,142 ",26 ,"2,116 ","1,787 ",14 ,"1,773 ",19.87 ,85.71 ,19.35 ,
,巴西 Brazil,,"4,106 ",236 ,"3,870 ","3,618 ",216 ,"3,402 ",13.49 ,9.26 ,13.76 ,
,阿根廷 Argentina,,984 ,117 ,867 ,873 ,67 ,806 ,12.71 ,74.63 ,7.57 ,
,美洲其他 Others,,"7,009 ",277 ,"6,732 ","6,362 ",240 ,"6,122 ",10.17 ,15.42 ,9.96 ,
歐洲  EUROPE,,,"203,301 ",907 ,"202,394 ","197,070 ",950 ,"196,120 ",3.16 ,-4.53 ,3.20 ,
,比利時 Belgium,,"4,435 ",16 ,"4,419 ","4,492 ",13 ,"4,479 ",-1.27 ,23.08 ,-1.34 ,
,法國 France,,"26,455 ",206 ,"26,249 ","25,245 ",270 ,"24,975 ",4.79 ,-23.70 ,5.10 ,
,德國 Germany,,"42,446 ",166 ,"42,280 ","39,533 ",161 ,"39,372 ",7.37 ,3.11 ,7.39 ,
,義大利 Italy,,"12,246 ",35 ,"12,211 ","12,237 ",35 ,"12,202 ",0.07 ,0.00 ,0.07 ,
,荷蘭 Netherlands,,"13,158 ",72 ,"13,086 ","11,230 ",66 ,"11,164 ",17.17 ,9.09 ,17.22 ,
,瑞士 Switzerland,,"6,594 ",85 ,"6,509 ","6,449 ",56 ,"6,393 ",2.25 ,51.79 ,1.81 ,
,西班牙 Spain,,"5,770 ",50 ,"5,720 ","5,652 ",66 ,"5,586 ",2.09 ,-24.24 ,2.40 ,
,英國 U.K.,,"44,430 ",188 ,"44,242 ","44,815 ",196 ,"44,619 ",-0.86 ,-4.08 ,-0.84 ,
,奧地利 Austria,,"5,806 ",30 ,"5,776 ","4,968 ",24 ,"4,944 ",16.87 ,25.00 ,16.83 ,
,希臘 Greece,,"1,258 ",0 ,"1,258 ","1,348 ",2 ,"1,346 ",-6.68 ,-100.00 ,-6.54 ,
,瑞典 Sweden,,"6,519 ",25 ,"6,494 ","6,007 ",30 ,"5,977 ",8.52 ,-16.67 ,8.65 ,
,俄羅斯 Russian,,"5,457 ",3 ,"5,454 ","5,019 ",0 ,"5,019 ",8.73 ,-,8.67 ,
,歐洲其他 Others,,"28,727 ",31 ,"28,696 ","30,075 ",31 ,"30,044 ",-4.48 ,0.00 ,-4.49 ,
大洋洲  OCEANIA,,,"71,953 ",529 ,"71,424 ","66,173 ",622 ,"65,551 ",8.73 ,-14.95 ,8.96 ,
,澳大利亞 Australia,,"62,254 ",423 ,"61,831 ","57,147 ",450 ,"56,697 ",8.94 ,-6.00 ,9.06 ,
,紐西蘭 New Zealand,,"8,644 ",98 ,"8,546 ","8,011 ",161 ,"7,850 ",7.90 ,-39.13 ,8.87 ,
,大洋洲其他 Others,,"1,055 ",8 ,"1,047 ","1,015 ",11 ,"1,004 ",3.94 ,-27.27 ,4.28 ,
非洲  AFRICA,,,"8,254 ",178 ,"8,076 ","7,735 ",157 ,"7,578 ",6.71 ,13.38 ,6.57 ,
,南非 S. Africa,,"4,066 ",155 ,"3,911 ","4,009 ",138 ,"3,871 ",1.42 ,12.32 ,1.03 ,
,非洲其他 Others,,"4,188 ",23 ,"4,165 ","3,726 ",19 ,"3,707 ",12.40 ,21.05 ,12.36 ,
未列明 Unstated,,,"26,000 ",864 ,"25,136 ","26,906 ","15,793 ","11,113 ",-3.37 ,-94.53 ,126.19 ,
總計 Grand Total,,,"5,567,277 ","2,331,800 ","3,235,477 ","4,395,004 ","1,624,922 ","2,770,082 ",26.67 ,43.50 ,16.80 ,
註1: 本表華僑旅客包含大陸地區、港澳居民、無戶籍國民之來臺人數。,,,,,,,,,,,,
