 ,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,
列印日期：,,2013/9/2,,資料期間：,,2012年1月至2012年12月(Data for 2012/1~2012/12),,,,,,,,
,,住用及營收概況,,,,,,各部門職工概況(No. of Employees),,,,,,
地區名稱,,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,
Region,,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,
臺北地區,國際,"2,303,616",77.72%,"4,394","10,122,433,799","11,311,434,891","24,643,793,907","34,904","58,316","19,402","9,496","122,118",,
Taipei,Internation,,,,,,,,,,,,,
臺北地區,一般,"587,952",79.33%,"2,931","1,723,332,655","1,789,741,536","4,036,052,299","8,024","8,835","3,112","1,930","21,901",,
Taipei,Standard,,,,,,,,,,,,,
,小計,"2,891,568",78.04%,"4,097","11,845,766,454","13,101,176,427","28,679,846,206","42,928","67,151","22,514","11,426","144,019",,
,SubTotal,,,,,,,,,,,,,
高雄地區,國際,"757,431",68.87%,"2,424","1,835,752,496","2,370,989,338","4,871,522,723","9,571","15,517","4,348","2,928","32,364",,
Kaohsiung,Internation,,,,,,,,,,,,,
高雄地區,一般,"41,768",45.65%,"2,553","106,643,363","37,272,786","145,749,913",542,554,55,148,"1,299",,
Kaohsiung,Standard,,,,,,,,,,,,,
,小計,"799,199",67.08%,"2,430","1,942,395,859","2,408,262,124","5,017,272,636","10,113","16,071","4,403","3,076","33,663",,
,SubTotal,,,,,,,,,,,,,
臺中地區,國際,"315,034",75.70%,"2,293","722,528,981","1,048,278,085","2,748,967,331","4,702","6,701","2,379","1,412","15,194",,
Taichung,Internation,,,,,,,,,,,,,
臺中地區,一般,"43,767",80.26%,"3,368","147,386,383","280,316,856","477,647,459",746,"1,672",249,476,"3,143",,
Taichung,Standard,,,,,,,,,,,,,
,小計,"358,801",76.23%,"2,425","869,915,364","1,328,594,941","3,226,614,790","5,448","8,373","2,628","1,888","18,337",,
,SubTotal,,,,,,,,,,,,,
花蓮地區,國際,"320,011",63.82%,"2,299","735,714,297","520,885,364","1,388,764,137","4,134","4,822","1,373","1,523","11,852",,
Hualien,Internation,,,,,,,,,,,,,
,小計,"320,011",63.82%,"2,299","735,714,297","520,885,364","1,388,764,137","4,134","4,822","1,373","1,523","11,852",,
,SubTotal,,,,,,,,,,,,,
風景區,國際,"469,342",65.87%,"4,998","2,345,818,166","1,288,653,821","4,052,091,144","7,368","8,650","3,579","7,476","27,073",,
Scenic Area,Internation,,,,,,,,,,,,,
風景區,一般,"84,778",41.81%,"2,140","181,388,930","105,806,330","322,163,264",860,"1,010",676,542,"3,088",,
Scenic Area,Standard,,,,,,,,,,,,,
,小計,"554,120",60.54%,"4,561","2,527,207,096","1,394,460,151","4,374,254,408","8,228","9,660","4,255","8,018","30,161",,
,SubTotal,,,,,,,,,,,,,
桃竹苗地區,國際,"494,300",69.03%,"2,427","1,199,723,654","1,321,770,289","2,936,059,014","6,313","8,615","3,018","2,117","20,063",,
TauHsiuMiao,Internation,,,,,,,,,,,,,
桃竹苗地區,一般,"302,615",63.82%,"2,403","727,123,455","555,494,256","1,374,074,544","2,551","4,312",996,"1,172","9,031",,
TauHsiuMiao,Standard,,,,,,,,,,,,,
,小計,"796,915",66.96%,"2,418","1,926,847,109","1,877,264,545","4,310,133,558","8,864","12,927","4,014","3,289","29,094",,
,SubTotal,,,,,,,,,,,,,
其他地區,國際,"615,204",60.12%,"3,541","2,178,140,779","2,280,120,704","4,961,366,357","9,436","14,652","6,172","3,006","33,266",,
Other,Internation,,,,,,,,,,,,,
