Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,
圓山大飯店,"5,844","120,416",67.74%,"3,346","402,872,847","581,751,761","1,269,215,252","2,338","3,166","1,534","1,131","8,169",,
The Grand Hotel,,,,,,,,,,,,,,
國賓大飯店,"5,112","104,554",67.24%,"3,382","353,552,791","842,474,780","1,300,321,876","1,403","2,632",396,620,"5,051",,
The Ambassador Hotel,,,,,,,,,,,,,,
台北華國大飯店,"3,456","77,138",73.38%,"2,569","198,178,177","163,425,450","394,462,212",892,"1,237",238,512,"2,879",,
Imperial Hotel Taipei,,,,,,,,,,,,,,
華泰王子大飯店,"2,511","61,839",80.99%,"2,990","184,924,056","122,386,203","328,692,719",909,922,762,135,"2,728",,
Gloria Prince Hotel,,,,,,,,,,,,,,
國王大飯店,"1,176","20,394",57.01%,"1,534","31,288,759","9,027,990","41,621,228",383,132,252,0,767,,
Emperor Hotel,,,,,,,,,,,,,,
豪景大酒店,"2,300","58,324",83.39%,"1,916","111,720,623","56,913,980","172,309,895",542,394,180,0,"1,116",,
Hotel Riverview Taipei,,,,,,,,,,,,,,
台北凱撒大飯店,"4,872","131,206",88.54%,"3,113","408,472,358","214,781,531","689,942,427",813,"1,113",276,515,"2,717",,
Caesar Park Hotel Taipei,,,,,,,,,,,,,,
康華大飯店,"2,580","57,375",73.11%,"2,217","127,173,304","128,095,015","268,557,097",661,964,435,0,"2,060",,
Golden China Hotel,,,,,,,,,,,,,,
神旺大飯店,"3,203","80,445",82.58%,"3,338","268,490,385","418,302,840","752,885,019","1,048","2,590",776,0,"4,414",,
San Want Hotel,,,,,,,,,,,,,,
兄弟大飯店,"3,000","75,123",82.33%,"2,462","184,930,527","481,240,876","721,896,036","1,320","3,540",864,216,"5,940",,
Brother Hotel,,,,,,,,,,,,,,
三德大飯店,"3,444","79,189",75.59%,"2,273","179,979,637","101,428,733","301,090,906",919,795,409,320,"2,443",,
Santos Hotel,,,,,,,,,,,,,,
亞都麗緻大飯店,"2,508","61,090",80.08%,"3,641","222,426,911","199,055,098","479,986,253",773,"1,417",468,445,"3,103",,
The Landis Taipei Hotel,,,,,,,,,,,,,,
國聯大飯店,"2,916","61,668",69.53%,"2,423","149,405,715","35,054,085","205,998,434",826,417,60,439,"1,742",,
United Hotel,,,,,,,,,,,,,,
台北寒舍喜來登大飯店,"8,256","184,245",73.37%,"4,782","881,084,014","1,262,036,775","2,392,306,175","2,718","5,222","1,818",605,"10,363",,
Sheraton Taipei Hotel,,,,,,,,,,,,,,
台北老爺大酒店,"2,424","58,449",79.27%,"4,211","246,129,856","210,628,774","532,052,411",813,"1,506",387,509,"3,215",,
Hotel Royal Taipei,,,,,,,,,,,,,,
福華大飯店,"7,272","153,471",69.38%,"3,620","555,567,000","508,846,000","1,311,273,000","2,985","4,064","1,004","1,010","9,063",,
Howard Plaza Hotel,,,,,,,,,,,,,,
台北君悅大飯店,"10,272","228,325",73.08%,"5,187","1,184,221,268","1,011,970,033","2,478,414,432","1,930","4,158","1,952",767,"8,807",,
Grand Hyatt Taipei,,,,,,,,,,,,,,
晶華酒店,"6,456","160,460",81.71%,"5,027","806,614,567","1,367,981,725","2,749,108,910","2,619","5,679","1,599",248,"10,145",,
Grand Formosa Regent Taipei,,,,,,,,,,,,,,
西華大飯店,"4,116","96,771",77.30%,"4,303","416,376,149","358,161,096","890,625,245","1,661","2,476",613,677,"5,427",,
The Sherwood Hotel Taipei,,,,,,,,,,,,,,
遠東國際大飯店,"5,040","115,717",75.48%,"6,081","703,678,656","792,362,555","1,740,848,689","2,726","3,401",823,"1,029","7,979",,
Far Eastern Plaza Hotel (Taipei),,,,,,,,,,,,,,
六福皇宮,"3,456","82,725",78.70%,"5,316","439,781,729","663,601,067","1,272,318,204","1,661","3,010",973,0,"5,644",,
The Westin Taipei,,,,,,,,,,,,,,
