 ,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,
列印日期：,,2015/3/9,,資料期間：,,2014年1月至2014年12月(Data for 2014/1～2014/12),,,,,,,,
,,住用及營收概況,,,,,,各部門職工概況(No. of Employees),,,,,,
地區名稱,,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,
Region,,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,
臺北地區 Taipei,國際Internation,"2,298,642",77.42%,"4,831","11,104,553,614","12,049,295,760","26,426,658,989","34,706","58,422","20,212","9,138","122,478",,
臺北地區 Taipei,一般Standard,"668,157",80.43%,"3,472","2,320,044,227","2,372,235,281","5,374,927,093","9,175","10,951","4,288","2,301","26,715",,
臺北地區 Taipei,小計SubTotal,"2,966,799",78.08%,"4,525","13,424,597,841","14,421,531,041","31,801,586,082","43,881","69,373","24,500","11,439","149,193",,
高雄地區 Kaohsiung,國際Internation,"790,745",72.38%,"2,383","1,884,090,902","2,461,049,237","5,040,091,469","9,726","15,506","4,307","4,046","33,585",,
高雄地區 Kaohsiung,一般Standard,"49,305",54.03%,"2,323","114,511,202","55,443,837","171,451,983",526,483,87,58,"1,154",,
高雄地區 Kaohsiung,小計SubTotal,"840,050",70.97%,"2,379","1,998,602,104","2,516,493,074","5,211,543,452","10,252","15,989","4,394","4,104","34,739",,
臺中地區 Taichung,國際Internation,"298,499",71.93%,"2,440","728,361,533","1,071,990,339","2,795,225,674","4,934","7,165","2,416","1,709","16,224",,
臺中地區 Taichung,一般Standard,"81,545",64.01%,"2,537","206,912,816","342,116,255","606,325,103","1,150","2,426",556,497,"4,629",,
臺中地區 Taichung,小計SubTotal,"380,044",70.07%,"2,461","935,274,349","1,414,106,594","3,401,550,777","6,084","9,591","2,972","2,206","20,853",,
花蓮地區 Hualien,國際Internation,"343,339",69.04%,"2,467","847,056,461","596,335,162","1,552,559,403","3,030","4,848","1,309","2,723","11,910",,
花蓮地區 Hualien,小計SubTotal,"343,339",69.04%,"2,467","847,056,461","596,335,162","1,552,559,403","3,030","4,848","1,309","2,723","11,910",,
風景區 Scenic Area,國際Internation,"583,618",70.32%,"5,417","3,161,231,195","1,699,618,076","5,448,833,840","9,147","10,278","4,031","8,019","31,475",,
風景區 Scenic Area,一般Standard,"97,117",45.37%,"2,694","261,622,364","110,608,655","403,846,073","1,056",866,579,573,"3,074",,
風景區 Scenic Area,小計SubTotal,"680,735",65.20%,"5,028","3,422,853,559","1,810,226,731","5,852,679,913","10,203","11,144","4,610","8,592","34,549",,
桃竹苗地區 TauHsiuMiao,國際Internation,"563,828",78.86%,"2,648","1,492,882,092","1,488,850,111","3,439,558,574","6,436","9,477","2,918","2,275","21,106",,
桃竹苗地區 TauHsiuMiao,一般Standard,"283,635",59.05%,"2,389","677,530,064","632,694,383","1,399,230,047","2,920","4,672","1,102","1,154","9,848",,
桃竹苗地區 TauHsiuMiao,小計SubTotal,"847,463",70.90%,"2,561","2,170,412,156","2,121,544,494","4,838,788,621","9,356","14,149","4,020","3,429","30,954",,
其他地區 Other,國際Internation,"626,732",64.55%,"3,651","2,288,480,958","2,437,684,881","5,333,354,201","8,965","14,817","5,477","3,919","33,178",,
其他地區 Other,一般Standard,"199,518",61.10%,"2,351","469,145,389","185,357,354","716,623,389","2,183","1,741",951,407,"5,282",,
其他地區 Other,小計SubTotal,"826,250",63.68%,"3,338","2,757,626,347","2,623,042,235","6,049,977,590","11,148","16,558","6,428","4,326","38,460",,
,總計 Total,"6,884,680",72.02%,3712,"25,556,422,817","25,503,279,331","58,708,685,838","93,954","141,652","48,233","36,819","320,658",,
,,,,,,,,,,,,,,
類別,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,
Kind,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,
國際Internation,"246,195","5,505,403",73.51%,3906,"21,506,656,755","21,804,823,566","50,036,282,150","76,944","120,513","40,670","31,829","269,956",,
一般Standard,"68,059","1,379,277",66.62%,2936,"4,049,766,062","3,698,455,765","8,672,403,688","17,010","21,139","7,563","4,990","50,702",,
小計SubTotal,"314,254","6,884,680",72.02%,3712,"25,556,422,817","25,503,279,331","58,708,685,838","93,954","141,652","48,233","36,819","320,658",,
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
列印日期：,2015/3/9,臺北地區 Taipei,,資料期間：,,2014年1月至2014年12月(Data for 2014/1～2014/12),,,,,,,,
,住用及營收概況,,,,,各部門職工概況(No. of Employees),,,,,,,,
旅館名稱,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,
