 ,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,
列印日期：,,2012/2/7,,資料期間：,,2011年1月至2011年12月(Data for 2011/1~2011/12),,,,,,,,
,,住用及營收概況,,,,,,各部門職工概況(No. of Employees),,,,,,
地區名稱,,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,
Region,,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,
台北地區,國際,"2,242,270",75.40%,"4,107","9,208,163,815","11,310,596,025","23,700,103,164","34,155","56,811","18,510","9,652","119,128",,
Taipei,Internation,,,,,,,,,,,,,
台北地區,一般,"553,681",75.66%,"2,672","1,479,396,484","1,511,589,871","3,503,762,359","8,096","8,711","3,212","1,695","21,714",,
Taipei,Standard,,,,,,,,,,,,,
,小計,"2,795,951",75.45%,"3,823","10,687,560,299","12,822,185,896","27,203,865,523","42,251","65,522","21,722","11,347","140,842",,
,SubTotal,,,,,,,,,,,,,
高雄地區,國際,"751,893",68.55%,"2,379","1,788,526,529","2,609,708,741","5,022,433,780","9,323","15,232","4,383","2,977","31,915",,
Kaohsiung,Internation,,,,,,,,,,,,,
高雄地區,一般,"27,310",36.71%,"3,131","85,496,329","24,524,440","111,567,408",510,508,64,98,"1,180",,
Kaohsiung,Standard,,,,,,,,,,,,,
,小計,"779,203",66.53%,"2,405","1,874,022,858","2,634,233,181","5,134,001,188","9,833","15,740","4,447","3,075","33,095",,
,SubTotal,,,,,,,,,,,,,
台中地區,國際,"319,091",70.30%,"2,235","713,320,062","1,157,892,607","2,231,456,933","4,892","6,803","2,348","1,162","15,205",,
Taichung,Internation,,,,,,,,,,,,,
台中地區,一般,"44,162",81.20%,"3,282","144,929,520","279,251,993","474,189,249",709,"1,557",254,499,"3,019",,
Taichung,Standard,,,,,,,,,,,,,
,小計,"363,253",71.46%,"2,363","858,249,582","1,437,144,600","2,705,646,182","5,601","8,360","2,602","1,661","18,224",,
,SubTotal,,,,,,,,,,,,,
花蓮地區,國際,"308,767",61.21%,"2,431","750,471,851","544,872,302","1,429,429,052","4,385","4,837","1,379","1,400","12,001",,
Hualien,Internation,,,,,,,,,,,,,
,小計,"308,767",61.21%,"2,431","750,471,851","544,872,302","1,429,429,052","4,385","4,837","1,379","1,400","12,001",,
,SubTotal,,,,,,,,,,,,,
風景區,國際,"448,651",63.10%,"4,848","2,175,074,499","1,227,945,297","3,800,181,630","7,211","8,457","3,470","7,033","26,171",,
Scenic Area,Internation,,,,,,,,,,,,,
風景區,一般,"77,937",44.30%,"2,030","158,176,574","102,814,967","292,655,260",826,970,636,536,"2,968",,
Scenic Area,Standard,,,,,,,,,,,,,
