"表1-3  105年1至3月來臺旅客人數及成長率－按居住地分
Table 1-3 Visitor Arrivals by Residence,
 January-March,2016",,,,,,,,,,,,
"居住地
Residence",,,"105年1至3月 Jan.-Mar., 2016",,,"104年1至3月 Jan.-Mar.,2015",,,比較 Change +-%,,,
,,,"合計
Total","華僑旅客
Overseas
Chinese","外籍旅客
Foreigners","合計
Total","華僑旅客
Overseas
Chinese","外籍旅客
Foreigners","合計
Total","華僑旅客
Overseas
Chinese","外籍旅客
Foreigners",
,紐西蘭 New Zealand,,"3,293 ",15 ,"3,278 ","3,240 ",13 ,"3,227 ",1.64 ,15.38 ,1.58 ,
,大洋洲其他 Others,,524 ,7 ,517 ,377 ,4 ,373 ,38.99 ,75.00 ,38.61 ,
非洲  AFRICA,,,"2,522 ",38 ,"2,484 ","2,400 ",34 ,"2,366 ",5.08 ,11.76 ,4.99 ,
,南非 S. Africa,,"1,278 ",24 ,"1,254 ","1,325 ",27 ,"1,298 ",-3.55 ,-11.11 ,-3.39 ,
,非洲其他 Others,,"1,244 ",14 ,"1,230 ","1,075 ",7 ,"1,068 ",15.72 ,100.00 ,15.17 ,
未列明 Unstated,,,"3,307 ",341 ,"2,966 ","3,618 ",508 ,"3,110 ",-8.60 ,-32.87 ,-4.63 ,
總計 Grand Total,,,"2,820,815 ","1,474,822 ","1,345,993 ","2,431,046 ","1,261,260 ","1,169,786 ",16.03 ,16.93 ,15.06 ,
註1: 本表華僑旅客包含大陸地區、港澳居民、無戶籍國民之來臺人數。,,,,,,,,,,,,
"註2: 外籍勞工人次(含印尼、馬來西亞、菲律賓、泰國及越南)以持R簽證(停留6個月以上)入境人次計算, 105年1-3月計87,949人次。",,,,,,,,,,,,
註3: 資料來源:內政部移民署提供。,,,,,,,,,,,,
