 ,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,
列印日期：,,2014/1/20,,資料期間：,,2013年1月至2013年12月(Data for 2013/1~2013/12),,,,,,,,
,,住用及營收概況,,,,,,各部門職工概況(No. of Employees),,,,,,
地區名稱,,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,
Region,,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,
臺北地區,國際,"2,207,466",75.90%,"4,713","10,403,683,892","11,646,712,310","25,229,819,390","34,795","58,403","19,431","9,295","121,924",,
Taipei,Internation,,,,,,,,,,,,,
臺北地區,一般,"591,667",78.69%,"3,133","1,853,611,655","2,026,052,815","4,451,829,972","7,750","9,006","3,302","2,266","22,324",,
Taipei,Standard,,,,,,,,,,,,,
,小計,"2,799,133",76.47%,"4,379","12,257,295,547","13,672,765,125","29,681,649,362","42,545","67,409","22,733","11,561","144,248",,
,SubTotal,,,,,,,,,,,,,
高雄地區,國際,"734,196",67.21%,"2,473","1,815,389,307","2,377,056,435","4,852,294,300","9,683","15,183","4,002","3,594","32,462",,
Kaohsiung,Internation,,,,,,,,,,,,,
高雄地區,一般,"48,736",53.41%,"2,337","113,900,506","57,158,523","172,462,923",486,524,91,61,"1,162",,
Kaohsiung,Standard,,,,,,,,,,,,,
,小計,"782,932",66.14%,"2,464","1,929,289,813","2,434,214,958","5,024,757,223","10,169","15,707","4,093","3,655","33,624",,
,SubTotal,,,,,,,,,,,,,
臺中地區,國際,"306,623",73.88%,"2,425","743,709,078","1,048,420,461","2,785,249,899","5,087","6,938","2,508","1,690","16,223",,
Taichung,Internation,,,,,,,,,,,,,
臺中地區,一般,"61,254",50.55%,"2,972","182,025,620","322,186,319","560,296,878","1,122","2,385",530,506,"4,543",,
Taichung,Standard,,,,,,,,,,,,,
,小計,"367,877",68.61%,"2,516","925,734,698","1,370,606,780","3,345,546,777","6,209","9,323","3,038","2,196","20,766",,
,SubTotal,,,,,,,,,,,,,
花蓮地區,國際,"299,710",59.98%,"2,521","755,657,336","537,415,502","1,382,926,352","3,189","4,729","1,412","2,289","11,619",,
Hualien,Internation,,,,,,,,,,,,,
,小計,"299,710",59.98%,"2,521","755,657,336","537,415,502","1,382,926,352","3,189","4,729","1,412","2,289","11,619",,
,SubTotal,,,,,,,,,,,,,
風景區,國際,"488,326",68.16%,"5,169","2,524,242,074","1,337,814,036","4,305,045,439","7,327","8,752","3,347","7,749","27,175",,
Scenic Area,Internation,,,,,,,,,,,,,
風景區,一般,"83,027",38.82%,"2,581","214,273,771","116,232,814","364,284,923","1,062","1,005",572,526,"3,165",,
Scenic Area,Standard,,,,,,,,,,,,,
,小計,"571,353",61.41%,"4,793","2,738,515,845","1,454,046,850","4,669,330,362","8,389","9,757","3,919","8,275","30,340",,
