"表1-3  103年1至12月來臺旅客人數及成長率－按居住地分
Table 1-3 Visitor Arrivals by Residence,
 January-December,2014",,,,,,,,,,,,
"居住地
Place of residence",,,"103年1至12月 Jan.-Dec., 2014",,,"102年1至12月 Jan.-Dec.,2013",,,成長率  Rate of increase(%),,,
,,,"合計
Total","華僑旅客
Overseas
Chinese","外籍旅客
Foreigners","合計
Total","華僑旅客
Overseas
Chinese","外籍旅客
Foreigners","合計
Total","華僑旅客
Overseas
Chinese","外籍旅客
Foreigners",
亞洲  ASIA,,,"8,970,186 ","5,215,986 ","3,754,200 ","7,138,786 ","3,913,191 ","3,225,595 ",25.65 ,33.29 ,16.39 ,
,香港.澳門 HongKong. Macao,,"1,375,770 ","1,256,365 ","119,405 ","1,183,341 ","1,062,417 ","120,924 ",16.26 ,18.26 ,-1.26 ,
,大陸 Mainland China,,"3,987,152 ","3,947,610 ","39,542 ","2,874,702 ","2,837,470 ","37,232 ",38.70 ,39.12 ,6.20 ,
,日本 Japan,,"1,634,790 ","1,182 ","1,633,608 ","1,421,550 ","1,458 ","1,420,092 ",15.00 ,-18.93 ,15.04 ,
,韓國 Korea,,"527,684 ","2,709 ","524,975 ","351,301 ","3,176 ","348,125 ",50.21 ,-14.70 ,50.80 ,
,印度 India,,"30,168 ",24 ,"30,144 ","23,318 ",18 ,"23,300 ",29.38 ,33.33 ,29.37 ,
,中東 Middle East,,"17,212 ",62 ,"17,150 ","13,918 ",288 ,"13,630 ",23.67 ,-78.47 ,25.83 ,
,東南亞 S.E.Asia,,"1,388,305 ","8,004 ","1,380,301 ","1,261,596 ","8,315 ","1,253,281 ",10.04 ,-3.74 ,10.13 ,
,,馬來西亞 Malaysia,"439,240 ",619 ,"438,621 ","394,326 ",627 ,"393,699 ",11.39 ,-1.28 ,11.41 ,
,,新加坡 Singapore,"376,235 ",295 ,"375,940 ","364,733 ",385 ,"364,348 ",3.15 ,-23.38 ,3.18 ,
,,印尼 Indonesia,"182,704 ",369 ,"182,335 ","171,299 ",422 ,"170,877 ",6.66 ,-12.56 ,6.71 ,
,,菲律賓 Philippines,"136,978 ","2,409 ","134,569 ","99,698 ","2,523 ","97,175 ",37.39 ,-4.52 ,38.48 ,
,,泰國 Thailand,"104,812 ",640 ,"104,172 ","104,138 ",781 ,"103,357 ",0.65 ,-18.05 ,0.79 ,
,,越南 Vietnam,"137,177 ","3,152 ","134,025 ","118,467 ","2,855 ","115,612 ",15.79 ,10.40 ,15.93 ,
,,其他 Others,"11,159 ",520 ,"10,639 ","8,935 ",722 ,"8,213 ",24.89 ,-27.98 ,29.54 ,
,亞洲其他 Others,,"9,105 ",30 ,"9,075 ","9,060 ",49 ,"9,011 ",0.50 ,-38.78 ,0.71 ,
美洲  AMERICA,,,"565,375 ","4,471 ","560,904 ","502,446 ","4,896 ","497,550 ",12.52 ,-8.68 ,12.73 ,
,加拿大 Canada,,"88,601 ",367 ,"88,234 ","72,693 ",439 ,"72,254 ",21.88 ,-16.40 ,22.12 ,
,美國 U.S.A.,,"458,691 ","3,465 ","455,226 ","414,060 ","3,765 ","410,295 ",10.78 ,-7.97 ,10.95 ,
,墨西哥 Mexico,,"3,172 ",9 ,"3,163 ","2,295 ",5 ,"2,290 ",38.21 ,80.00 ,38.12 ,
,巴西 Brazil,,"4,551 ",268 ,"4,283 ","3,940 ",276 ,"3,664 ",15.51 ,-2.90 ,16.89 ,
,阿根廷 Argentina,,"1,191 ",112 ,"1,079 ","1,124 ",126 ,998 ,5.96 ,-11.11 ,8.12 ,
,美洲其他 Others,,"9,169 ",250 ,"8,919 ","8,334 ",285 ,"8,049 ",10.02 ,-12.28 ,10.81 ,
歐洲  EUROPE,,,"264,880 ",472 ,"264,408 ","223,062 ",501 ,"222,561 ",18.75 ,-5.79 ,18.80 ,
,比利時 Belgium,,"5,352 ",10 ,"5,342 ","4,756 ",16 ,"4,740 ",12.53 ,-37.50 ,12.70 ,
,法國 France,,"36,379 ",130 ,"36,249 ","32,384 ",140 ,"32,244 ",12.34 ,-7.14 ,12.42 ,
,德國 Germany,,"52,507 ",89 ,"52,418 ","46,533 ",117 ,"46,416 ",12.84 ,-23.93 ,12.93 ,
