 ,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
圓山大飯店,"4,988","88,099",57.91%,"4,259","375,198,086","584,756,821","1,122,460,935","1,683","2,602","1,495",628,"6,408",,,,,,
The Grand Hotel,,,,,,,,,,,,,,,,,,
國賓大飯店,"5,064","119,801",77.78%,"3,917","469,319,482","1,154,808,717","1,753,231,421","1,678","3,718",498,656,"6,550",,,,,,
The Ambassador Hotel,,,,,,,,,,,,,,,,,,
台北華國大飯店,"3,912","98,741",82.98%,"3,286","324,504,417","124,248,602","480,794,115",953,910,48,504,"2,415",,,,,,
Imperial Hotel Taipei,,,,,,,,,,,,,,,,,,
華泰王子大飯店,"2,523","61,980",80.77%,"3,196","198,116,002","155,931,591","383,285,587",941,"1,407",912,97,"3,357",,,,,,
Gloria Prince Hotel,,,,,,,,,,,,,,,,,,
國王大飯店,"1,176","28,748",80.37%,"1,665","47,865,628","11,281,377","60,372,365",389,158,241,0,788,,,,,,
Emperor Hotel,,,,,,,,,,,,,,,,,,
豪景大酒店,"2,532","60,760",78.89%,"2,420","147,033,833","33,759,997","184,064,018",760,330,215,0,"1,305",,,,,,
Hotel Riverview Taipei,,,,,,,,,,,,,,,,,,
台北凱撒大飯店,"5,736","158,452",90.82%,"3,722","589,791,662","238,701,045","884,925,580",984,"1,344",276,588,"3,192",,,,,,
Caesar Park Taipei,,,,,,,,,,,,,,,,,,
康華大飯店,"2,580","60,375",76.94%,"2,964","178,972,459","150,439,544","342,508,330",717,"1,032",444,0,"2,193",,,,,,
Golden China Hotel,,,,,,,,,,,,,,,,,,
神旺大飯店,"3,216","93,229",95.31%,"3,068","286,027,786","374,215,627","717,639,006","1,126","2,790",808,0,"4,724",,,,,,
San Want Hotel,,,,,,,,,,,,,,,,,,
兄弟大飯店,"3,000","62,494",68.49%,"3,061","191,275,683","543,814,794","783,451,865","1,320","3,540",864,156,"5,880",,,,,,
Brother Hotel,,,,,,,,,,,,,,,,,,
三德大飯店,"3,437","89,978",86.07%,"2,660","239,373,175","148,536,610","396,143,155",872,893,342,269,"2,376",,,,,,
Santos Hotel,,,,,,,,,,,,,,,,,,
亞都麗緻大飯店,"2,508","60,977",79.93%,"4,738","288,896,945","206,755,170","557,414,106",811,"1,325",435,519,"3,090",,,,,,
The Landis Taipei Hotel,,,,,,,,,,,,,,,,,,
國聯大飯店,"2,916","56,511",63.71%,"2,805","158,489,055","38,607,767","218,839,612",734,369,60,468,"1,631",,,,,,
United Hotel,,,,,,,,,,,,,,,,,,
